,decimalLatitude,decimalLongitude,eventDate,Year,Month,Day,Depth,ParentEventID,measurementValue,measurementUnit,h0,h1,h2,h3,wind_mag,measurementValue_vol_1m,measurementValue_vol_5m,measurementUnit_vol
72,39.47,-31.3,2011-08-19 12:00:00,2011,8,19,0.15,5,2.950312202349455e-05,g m-2,577410730349821951,581909931930681343,586412432046424063,590915962954317823,4.735874176025391,3.987493261251502e-05,7.975995443737704e-06,gm-3
73,39.13,-30.7,2011-04-04 12:00:00,2011,4,4,0.15,5,3.7058206607236488e-06,g m-2,577410730349821951,581909931930681343,586412432046424063,590915550637457407,5.4800028800964355,6.637919605381288e-06,1.3335493722834066e-06,gm-3
74,38.75,-27.42,2011-09-01 12:00:00,2011,9,1,0.15,5,2.0417348073526512e-05,g m-2,577410730349821951,581901135837659135,586402536441774079,590905792471760895,1.7643287181854248,2.0417348073526522e-05,4.083469614705304e-06,gm-3
75,37.78,-34.86,2011-04-03 12:00:00,2011,4,3,0.15,5,8.569999999999993e-05,g m-2,577410730349821951,581909931930681343,586409683267354623,590913008016818175,4.948398590087891,0.00012495225617862777,2.5001626623191168e-05,gm-3
76,36.43,-39.02,2011-04-02 12:00:00,2011,4,2,0.15,5,0.0009575964634612242,g m-2,577410730349821951,582011087000436735,586513587116179455,591016980585119743,2.946842908859253,0.0009587986660090606,0.00019175973320181212,gm-3
77,34.7,-15.0,2012-10-13 12:00:00,2012,10,13,0.15,5,2.4848484848484848e-06,g m-2,577410730349821951,581905533884170239,586405834976657407,590908953567690751,3.349682331085205,2.5169625897262896e-06,5.033925179453766e-07,gm-3
78,34.68,-43.35,2011-04-01 12:00:00,2011,4,1,0.15,5,0.0007386917740336963,g m-2,577516283466088447,582011087000436735,586510838337110015,591013956928143359,2.2777249813079834,0.0007386919030565349,0.00014773838061130697,gm-3
79,33.13,-46.79,2011-03-31 12:00:00,2011,3,31,0.15,5,1.1463194533969307e-05,g m-2,577516283466088447,582011087000436735,586511937848737791,591015193878724607,0.0,1.1463194533969307e-05,2.2926389067938615e-06,gm-3
80,32.91,-14.61,2011-07-11 12:00:00,2011,7,11,0.15,5,4.2107064943782545e-05,g m-2,577410730349821951,581887941698125823,586389892058054655,590893354246471679,5.4976019859313965,7.59529250369236e-05,1.526310313631528e-05,gm-3
81,32.08,-17.27,2011-07-10 12:00:00,2011,7,10,0.15,5,0.0004171029993024879,g m-2,577410730349821951,581887941698125823,586389892058054655,590893148088041471,6.607303619384766,0.001142809403008323,0.00024339501830386844,gm-3
82,31.62,-50.48,2011-03-30 12:00:00,2011,3,30,0.15,5,0.0009714627706317784,g m-2,577516283466088447,581989096767881215,586491047127810047,590992241573494783,5.853348255157471,0.0020178161500795672,0.00040914773474814054,gm-3
83,30.97,-20.65,2011-07-09 12:00:00,2011,7,9,0.15,5,7.997289054557792e-07,g m-2,577410730349821951,581887941698125823,586390991569682431,590894316319145983,9.227777481079102,3.8446514713470155e-06,1.3365526230483535e-06,gm-3
84,29.97,-23.69,2011-07-08 12:00:00,2011,7,8,0.15,5,1.515856719142137e-05,g m-2,577410730349821951,581896737791148031,586398688151076863,590902150339493887,7.618232727050781,5.536523499919384e-05,1.360601068496999e-05,gm-3
85,29.68,-17.29,2010-12-19 12:00:00,2010,12,19,0.15,5,1.5922895666972102e-05,g m-2,577410730349821951,581887941698125823,586387693034799103,590891155223216127,5.8187479972839355,3.262691141811472e-05,6.607777035662132e-06,gm-3
86,29.01,-53.68,2011-03-29 12:00:00,2011,3,29,0.15,5,0.0001576917048024828,g m-2,577516283466088447,581989096767881215,586489947616182271,590993203646169087,4.511765480041504,0.00019805677312940718,3.961233837567079e-05,gm-3
87,28.87,-26.95,2011-07-07 12:00:00,2011,7,7,0.15,5,0.00010274361757349823,g m-2,577410730349821951,581896737791148031,586398688151076863,590901944181063679,4.309628486633301,0.00012166942430260799,2.433398457631609e-05,gm-3
88,27.97,-29.65,2011-07-06 12:00:00,2011,7,6,0.15,5,0.00021689348857266067,g m-2,577410730349821951,581896737791148031,586399787662704639,590903043692691455,1.401410698890686,0.00021689348857266067,4.3378697714532136e-05,gm-3
89,26.91,-32.84,2011-07-05 12:00:00,2011,7,5,0.15,5,0.0002606158292574474,g m-2,577410730349821951,581892339744636927,586392640837124095,590895965586587647,2.116804361343384,0.00026061582995526875,5.212316599105375e-05,gm-3
90,26.53,-56.3,2011-03-28 12:00:00,2011,3,28,0.15,5,8.988096638358931e-05,g m-2,577516283466088447,581997892860903423,586497644197576703,591001037666516991,5.1766133308410645,0.0001428714117294788,2.8613331436387065e-05,gm-3
91,26.11,-35.26,2011-07-04 12:00:00,2011,7,4,0.15,5,0.0007721134670953566,g m-2,577410730349821951,582499270163169279,586393740348751871,591504751430991871,9.127877235412598,0.003667028577507681,0.0012459290731167813,gm-3
92,24.98,-21.06,2010-12-21 12:00:00,2010,12,21,0.15,5,1.522094926350246e-06,g m-2,577410730349821951,582472881884102655,586975931755659263,591479325224599551,0.19120734930038452,1.522094926350246e-06,3.044189852700492e-07,gm-3
93,24.84,-38.71,2011-07-03 12:00:00,2011,7,3,0.15,5,1.158790273889896e-05,g m-2,578008864675332095,581993494814392319,586493795906879487,590997258095296511,7.7912421226501465,4.401269730749688e-05,1.1171648712822862e-05,gm-3
94,23.74,-41.9,2011-07-02 12:00:00,2011,7,2,0.15,5,2.790330457431225e-05,g m-2,577516283466088447,581993494814392319,586494895418507263,590998082729017343,5.271135330200195,4.601776037381696e-05,9.222370983898372e-06,gm-3
95,23.27,-22.22,2010-12-22 12:00:00,2010,12,22,0.15,5,4.11937585214362e-05,g m-2,577973680303243263,582472881884102655,586975931755659263,591479187785646079,5.861474514007568,8.583608281408032e-05,1.7409862270449767e-05,gm-3
96,22.86,-44.53,2011-07-01 12:00:00,2011,7,1,0.15,5,1.078514620582431e-05,g m-2,577516283466088447,582002290907414527,586504791023157247,591007978333667327,5.797440052032471,2.1914724060946607e-05,4.435191778506061e-06,gm-3
97,22.41,-62.48,2011-03-26 12:00:00,2011,3,26,0.15,5,2.4805867126833473e-06,g m-2,577832942814887935,582327746349236223,586828597197537279,591332059385954303,4.263776779174805,2.9017699193979553e-06,5.803554828461718e-07,gm-3
98,21.89,-155.66,2011-05-14 12:00:00,2011,5,14,0.15,5,0.000560562645758835,g m-2,578114417791598591,582604823279435775,587107873150992383,591611197900455935,7.0633745193481445,0.0017711494770339335,0.0003981252571273639,gm-3
99,21.74,-47.79,2011-06-30 12:00:00,2011,6,30,0.15,5,4.6557175478657946e-05,g m-2,577516283466088447,582002290907414527,586502042244087807,591005229554597887,0.0,4.6557175478657946e-05,9.311435095731589e-06,gm-3
100,21.57,-153.42,2011-05-15 12:00:00,2011,5,15,0.15,5,0.0002832737345756734,g m-2,578114417791598591,582604823279435775,587104574616109055,591608105524002815,9.228368759155273,0.0013619184005263581,0.0004735207184130938,gm-3
101,21.45,-23.45,2010-12-23 12:00:00,2010,12,23,0.15,5,1.0689129698611582e-05,g m-2,577973680303243263,582472881884102655,586973732732403711,591476851323437055,4.825065612792969,1.4904338848489898e-05,2.9815276107430242e-06,gm-3
102,21.06,-150.32,2011-05-16 12:00:00,2011,5,16,0.15,5,0.00021776957494407172,g m-2,578114417791598591,582604823279435775,587107323395178495,591608517840863231,7.694614887237549,0.0008095164149293236,0.00020175208113630305,gm-3
