,decimalLatitude,decimalLongitude,eventDate,Year,Month,Day,Depth,ParentEventID,measurementValue,measurementUnit,l_min,l_max,h0,h1,h2,h3,measurementValue_vol_1m,measurementValue_vol_5m,measurementUnit_vol
553,37.1667,-146.0833,2010-08-08,2010,8,8,0,Eriksen2014,1.7100000000000002e-05,n m-2,0.2,inf,577445914721910783,581918728023703551,586420678383632383,590924140572049407,1.7100000000000002e-05,3.4200000000000003e-06,n m-3
554,34.23,-162.1567,2010-04-08,2010,4,8,0,Eriksen2014,1.933e-05,n m-2,0.2,inf,577727389698621439,582222193232969727,586724143592898559,591227605781315583,1.933e-05,3.866e-06,n m-3
555,40.1867,-162.3583,2010-08-08,2010,8,8,0,Eriksen2014,4.893e-05,n m-2,0.2,inf,577094071001022463,581584476488859647,586085327337160703,590588652086624255,4.893e-05,9.786e-06,n m-3
556,41.8767,-161.3617,2010-07-08,2010,7,8,0,Eriksen2014,1.2960000000000001e-05,n m-2,0.2,inf,577094071001022463,581593272581881855,586095772697624575,590598891288657919,1.2960000000000001e-05,2.5920000000000003e-06,n m-3
558,27.2333,-156.2833,2010-07-27,2010,7,27,0,Eriksen2014,1.861e-05,n m-2,0.2,inf,577445914721910783,581927524116725759,586428374965026815,590931562275536895,1.861e-05,3.722e-06,n m-3
559,29.05,-155.3667,2010-07-28,2010,7,28,0,Eriksen2014,0.00017800999999999998,n m-2,0.2,inf,577445914721910783,581927524116725759,586427275453399039,590930806361292799,0.00017800999999999998,3.5601999999999996e-05,n m-3
560,30.8,-153.15,2010-07-29,2010,7,29,0,Eriksen2014,4.453e-05,n m-2,0.2,inf,577445914721910783,581927524116725759,586429474476654591,590932799226118143,4.453e-05,8.906e-06,n m-3
561,32.7,-151.0167,2010-07-30,2010,7,30,0,Eriksen2014,0.00011776000000000001,n m-2,0.2,inf,577445914721910783,581918728023703551,586419578872004607,590922697463037951,0.00011776000000000001,2.3552e-05,n m-3
563,38.2167,-142.4833,2010-03-08,2010,3,8,0,Eriksen2014,1.13e-05,n m-2,0.2,inf,577445914721910783,581940718256259071,586441569104560127,590945031292977151,1.13e-05,2.26e-06,n m-3
564,33.3667,-154.7333,2010-07-08,2010,7,8,0,Eriksen2014,8.13e-06,n m-2,0.2,inf,577445914721910783,581945116302770175,586445417395257343,590948673425244159,8.13e-06,1.626e-06,n m-3
